Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2019/10/20,24,MD,24019,Dorchester County,6766,25163,131588,32614,44391,13385,5819,23186,8105,3338,472,194,84
County,2019/10/20,24,MD,24021,Frederick County,46116,213431,979144,231100,232077,127339,125520,150153,81327,21520,7020,943,2145
County,2019/10/20,24,MD,24023,Garrett County,4440,24574,174900,36016,53012,19847,32082,23626,7136,2155,825,104,97
County,2019/10/20,24,MD,24025,Harford County,44633,210808,891761,173639,203388,99973,149962,196249,55197,6907,4578,1100,768
County,2019/10/20,24,MD,24027,Howard County,58099,267591,1180027,247154,274413,124579,239456,228000,45678,9910,5610,2114,3113
County,2019/10/20,24,MD,24029,Kent County,3932,15490,51096,11659,11260,5242,7549,9057,4944,1002,236,102,45
County,2019/10/20,24,MD,24031,Montgomery County,224701,825987,3688175,860125,897198,462564,685862,625122,114007,19256,16720,3232,4089
County,2019/10/20,24,MD,24033,Prince George's County,187993,721334,3028232,679014,722441,377826,563103,575120,76151,15827,13865,2430,2455
County,2019/10/20,24,MD,24035,Queen Anne's County,7533,42848,186938,41085,48983,25590,18959,33115,12399,4552,1491,206,558
County,2019/10/20,24,MD,24037,St. Mary's County,19866,93644,416095,66917,145177,59666,57033,58015,19415,5152,3461,702,557
County,2019/10/20,24,MD,24039,Somerset County,5275,20341,88942,14776,19230,11195,18573,15868,7641,1522,137,0,0
County,2019/10/20,24,MD,24041,Talbot County,7798,29383,132344,34368,29275,17025,18790,22609,6187,2756,568,305,461
County,2019/10/20,24,MD,24043,Washington County,30468,120581,552553,116285,123481,84712,83509,81512,43251,13539,3924,1298,1042
County,2019/10/20,24,MD,24045,Wicomico County,22554,81055,456956,110706,128289,56984,64477,61179,29164,4489,794,526,348
County,2019/10/20,24,MD,24047,Worcester County,11175,41101,188815,46215,50016,19783,28768,24727,13100,4091,1784,149,182
County,2019/10/20,24,MD,24510,Baltimore city,185770,407720,1999813,658139,497650,254947,325865,218072,22594,8988,9678,1529,2351
County,2019/10/21,24,MD,24510,Baltimore city,169240,424250,2306631,727225,543249,305066,396803,285712,30825,8852,5837,1041,2021
County,2019/10/21,24,MD,24047,Worcester County,10343,41933,202547,49988,54059,19071,29984,28880,17361,1992,947,178,87
County,2019/10/21,24,MD,24045,Wicomico County,19677,83932,472564,106546,123804,72046,65858,63385,36642,3337,520,292,134
County,2019/10/21,24,MD,24043,Washington County,27283,123766,632089,127663,136501,88943,100891,98038,57096,18423,3133,885,516
County,2019/10/21,24,MD,24041,Talbot County,6928,30253,124089,28049,28362,15042,18833,23734,6583,2601,506,84,295
County,2019/10/21,24,MD,24039,Somerset County,4536,21080,97459,15420,16106,9698,15447,29908,9657,779,318,113,13
County,2019/10/21,24,MD,24037,St. Mary's County,16364,97146,483024,89151,120381,82350,73876,80975,28803,5307,1194,719,268
County,2019/10/21,24,MD,24035,Queen Anne's County,6854,43527,208226,40194,40488,21888,23832,50021,24766,5638,422,254,723
County,2019/10/21,24,MD,24033,Prince George's County,160469,748858,3458550,814152,730263,403847,657337,720378,109993,12962,6306,1316,1996
County,2019/10/21,24,MD,24031,Montgomery County,193928,856760,4124762,1001664,929591,500179,771034,751976,141138,16153,7521,2021,3485
County,2019/10/21,24,MD,24029,Kent County,3379,16043,66253,17242,12814,5472,11290,13373,4647,1108,267,40,0
County,2019/10/21,24,MD,24027,Howard County,51871,273819,1312878,272929,257366,137773,274681,301657,50990,10158,3957,1481,1886
County,2019/10/21,24,MD,24025,Harford County,39292,216149,1015179,185023,220455,102858,165960,250322,76884,9367,2685,585,1040
County,2019/10/21,24,MD,24023,Garrett County,3906,25108,155577,30408,45025,22528,24212,23383,8555,714,506,117,129
County,2019/10/21,24,MD,24021,Frederick County,40731,218816,1129214,252947,250891,131448,127972,198717,139394,22655,3602,599,989
County,2019/10/21,24,MD,24019,Dorchester County,6221,25708,150247,34227,39484,18144,8702,35533,9765,3284,723,305,80
County,2019/10/21,24,MD,24017,Charles County,23673,139584,648147,117031,145864,67294,89961,164513,56270,4997,1212,658,347
County,2019/10/21,24,MD,24015,Cecil County,16297,86558,455278,88929,89739,43357,74223,114552,34996,6493,2228,442,319
County,2019/10/21,24,MD,24013,Carroll County,24616,143831,732341,159168,211293,79422,83464,116103,71581,7933,2523,520,334
County,2019/10/21,24,MD,24011,Caroline County,5098,28308,141906,30104,29204,15308,19250,31146,12232,4035,387,125,115
County,2019/10/21,24,MD,24009,Calvert County,15759,76766,414688,86444,108310,49435,57431,73150,32227,6612,774,103,202
County,2019/10/21,24,MD,24005,Baltimore County,152309,675061,3314607,740207,717559,370337,611676,721431,111570,23860,11801,3139,3027
County,2019/10/21,24,MD,24003,Anne Arundel County,98252,480982,2167394,483104,430932,236108,389760,486313,115272,14126,6681,1901,3197
County,2019/10/21,24,MD,24001,Allegany County,15785,54631,332733,75135,100592,44770,31923,49939,21953,7117,1128,83,93
County,2019/10/22,24,MD,24001,Allegany County,15634,54782,324541,68742,107586,46711,29746,47101,15420,7475,1442,222,96
County,2019/10/22,24,MD,24003,Anne Arundel County,100160,479074,2183441,479614,463642,244933,381223,479079,112283,10587,5915,2365,3800
County,2019/10/22,24,MD,24005,Baltimore County,154300,673070,3186431,713881,663109,356254,589025,723998,100947,24506,8990,3232,2489
County,2019/10/22,24,MD,24009,Calvert County,15656,76869,387957,67531,107343,52345,52379,69968,31051,7010,141,116,73
County,2019/10/22,24,MD,24011,Caroline County,5370,28036,163526,33592,34430,11901,23190,37893,18842,2840,541,219,78
County,2019/10/22,24,MD,24013,Carroll County,25545,142902,787380,164907,207719,105571,94401,130095,74305,7061,2038,746,537
County,2019/10/22,24,MD,24015,Cecil County,16552,86303,471612,98140,79893,47510,76385,121920,39426,4919,2550,454,415
County,2019/10/22,24,MD,24017,Charles County,23624,139633,622404,115967,134580,67182,82025,157130,59069,4760,1025,280,386
County,2019/10/22,24,MD,24019,Dorchester County,6581,25348,130351,26015,36625,13868,9799,29982,9518,3579,776,189,0
County,2019/10/22,24,MD,24021,Frederick County,42859,216688,1094653,257903,249002,116125,133197,172040,138985,22522,2992,829,1058
County,2019/10/22,24,MD,24023,Garrett County,4360,24654,169077,31712,52432,18205,22553,27375,14829,976,776,123,96
County,2019/10/22,24,MD,24025,Harford County,39242,216199,1002994,182128,211142,104972,177034,247304,68690,8199,2161,602,762
County,2019/10/22,24,MD,24027,Howard County,52220,273470,1269518,273330,258902,124587,253097,283942,58135,9037,4823,1371,2294
County,2019/10/22,24,MD,24029,Kent County,3700,15722,61272,16617,11460,6860,8073,10707,5639,1715,154,47,0
County,2019/10/22,24,MD,24031,Montgomery County,197413,853275,4149966,1026349,941906,509194,746329,761017,138271,14535,6429,1710,4226
County,2019/10/22,24,MD,24033,Prince George's County,163469,745858,3473776,803495,738922,415535,663012,727670,105607,11002,5738,1019,1776
County,2019/10/22,24,MD,24035,Queen Anne's County,6946,43435,208036,40287,35826,20957,26045,50210,27874,5822,666,288,61
County,2019/10/22,24,MD,24037,St. Mary's County,16947,96563,474251,90142,121257,78252,78721,71743,26951,5289,1177,381,338
County,2019/10/22,24,MD,24039,Somerset County,4468,21148,104964,16723,22358,6899,19684,25862,11749,1012,461,201,15
County,2019/10/22,24,MD,24041,Talbot County,7083,30098,143544,31052,32096,15167,22428,33660,5888,2056,835,196,166
County,2019/10/22,24,MD,24043,Washington County,26488,124561,623950,140970,133645,83515,84763,93069,60605,22062,3509,1435,377
County,2019/10/22,24,MD,24045,Wicomico County,20418,83191,497276,123619,138175,62890,65444,65760,36446,3520,416,547,459
County,2019/10/22,24,MD,24047,Worcester County,10553,41723,196701,44891,50439,16685,29626,33180,17741,2751,1095,211,82
County,2019/10/22,24,MD,24510,Baltimore city,170785,422705,2221411,708906,514237,285076,390684,278302,27911,7361,5856,1354,1724
County,2019/10/23,24,MD,24001,Allegany County,15354,55062,320476,62763,96799,52337,32031,50641,18013,6054,1421,303,114
County,2019/10/23,24,MD,24003,Anne Arundel County,96034,483200,2220737,503158,446038,250977,409899,470470,113629,13619,6885,2079,3983
County,2019/10/23,24,MD,24005,Baltimore County,149140,678230,3307416,710963,725990,379459,626779,718634,105309,21428,12056,3633,3165
County,2019/10/23,24,MD,24009,Calvert County,14569,77956,398992,76386,107296,49128,64719,63992,29278,6820,721,240,412
County,2019/10/23,24,MD,24011,Caroline County,5203,28203,142894,22735,34139,10505,17719,35082,18115,4015,205,155,224
County,2019/10/23,24,MD,24013,Carroll County,24291,144156,777925,160357,197819,103655,98420,134155,72355,7704,1711,891,858
County,2019/10/23,24,MD,24015,Cecil County,16442,86413,442162,86182,89638,46626,66600,108530,34153,6396,3108,660,269
County,2019/10/23,24,MD,24017,Charles County,22830,140427,638688,117403,148122,63292,91175,155696,55990,4487,1236,450,837
County,2019/10/23,24,MD,24019,Dorchester County,6517,25412,153617,36115,47373,18416,12060,24778,11098,3265,316,139,57
County,2019/10/23,24,MD,24021,Frederick County,42560,216987,1140484,261634,250264,116959,129987,216736,135578,24018,3667,550,1091
County,2019/10/23,24,MD,24023,Garrett County,4058,24956,140620,16833,44121,18216,20926,28304,10555,353,1080,100,132
County,2019/10/23,24,MD,24025,Harford County,37820,217621,1036706,195630,220390,126994,169171,242828,69136,7831,2854,755,1117
County,2019/10/23,24,MD,24027,Howard County,50856,274834,1276291,274116,261166,143666,234027,285889,57405,11118,4900,1633,2371
County,2019/10/23,24,MD,24029,Kent County,3497,15925,69624,23935,12063,4209,10702,13360,4183,1047,77,0,48
County,2019/10/23,24,MD,24031,Montgomery County,191237,859451,4276240,1043444,976306,547065,782928,758221,139441,15544,7138,2045,4108
County,2019/10/23,24,MD,24033,Prince George's County,156401,752926,3531141,843636,764961,421908,661935,708223,104770,15418,7000,1344,1946
County,2019/10/23,24,MD,24035,Queen Anne's County,6307,44074,239100,49928,49610,29606,30815,51606,20032,6112,622,304,465
County,2019/10/23,24,MD,24037,St. Mary's County,17319,96191,517532,110083,127961,79044,84434,80653,28614,5540,681,0,522
County,2019/10/23,24,MD,24039,Somerset County,4287,21329,98898,16726,19811,10115,17570,22868,10121,1396,211,67,13
County,2019/10/23,24,MD,24041,Talbot County,6881,30300,149449,28824,35952,20914,25061,27433,7332,2921,403,208,401
County,2019/10/23,24,MD,24043,Washington County,26704,124345,687842,135519,153005,95760,109381,104995,60453,21278,5504,1445,502
County,2019/10/23,24,MD,24045,Wicomico County,19976,83633,509114,114723,142991,71687,63698,67637,43177,3464,603,773,361
County,2019/10/23,24,MD,24047,Worcester County,10101,42175,213392,53612,51467,25612,34573,26527,18175,2221,873,212,120
County,2019/10/23,24,MD,24510,Baltimore city,166508,426982,2316794,750719,556415,297471,397358,267264,28787,9321,5854,1877,1728
County,2019/10/24,24,MD,24510,Baltimore city,160436,433054,2440256,811824,569067,298752,425419,287877,29870,8502,5561,1521,1863
County,2019/10/24,24,MD,24047,Worcester County,9783,42493,220890,47462,56005,23951,36333,35068,18456,2243,1050,250,72
County,2019/10/24,24,MD,24045,Wicomico County,19024,84585,514351,114610,137114,63801,69565,81508,42567,3923,443,480,340
County,2019/10/24,24,MD,24043,Washington County,23610,127439,675795,140079,139884,89028,106540,112715,61754,19751,4441,1321,282
County,2019/10/24,24,MD,24041,Talbot County,5912,31269,164796,38411,36470,19302,24889,34935,6955,2769,434,184,447
County,2019/10/24,24,MD,24039,Somerset County,4066,21550,98324,16684,18659,9691,15489,25321,10469,1735,132,128,16
County,2019/10/24,24,MD,24037,St. Mary's County,14748,98762,472972,86350,120524,72118,82797,77085,28011,4184,1049,261,593
County,2019/10/24,24,MD,24035,Queen Anne's County,5804,44577,213198,39475,42451,27153,28199,45378,22839,7031,425,0,247
County,2019/10/24,24,MD,24033,Prince George's County,152851,756476,3645434,844306,799315,428598,682723,761314,106969,12774,6212,1579,1644
County,2019/10/24,24,MD,24031,Montgomery County,181933,868755,4321448,1039568,1022594,532441,792082,762774,145647,14874,7140,1254,3074
County,2019/10/24,24,MD,24029,Kent County,3262,16160,65528,14068,13299,5589,13522,13156,4350,1230,268,46,0
County,2019/10/24,24,MD,24027,Howard County,45406,280284,1272601,265364,266496,141350,250136,278545,56638,7691,2465,1231,2685
County,2019/10/24,24,MD,24025,Harford County,32721,222720,1014999,185632,204307,111526,174172,254696,71691,8131,3417,792,635
County,2019/10/24,24,MD,24023,Garrett County,3883,25131,143627,25116,34470,16911,22769,26450,14932,1826,772,55,326
County,2019/10/24,24,MD,24021,Frederick County,37195,222352,1087572,263462,234073,121021,125680,183715,129350,25272,3034,1289,676
County,2019/10/24,24,MD,24019,Dorchester County,5944,25985,130955,26387,42055,13208,10342,25795,9562,3100,257,185,64
County,2019/10/24,24,MD,24017,Charles County,20924,142333,625996,102862,147947,58546,90991,151665,67493,4583,1025,370,514
County,2019/10/24,24,MD,24015,Cecil County,15112,87743,446224,87040,81379,46389,70762,117634,33811,5345,2847,633,384
County,2019/10/24,24,MD,24013,Carroll County,20536,147911,697648,128698,174450,86190,98549,124125,75414,6707,2058,772,685
County,2019/10/24,24,MD,24011,Caroline County,4755,28651,148424,31825,30921,12985,18877,31642,18029,3397,292,344,112
County,2019/10/24,24,MD,24009,Calvert County,13351,79174,371198,67587,94156,42833,57977,71314,30178,5632,1064,387,70
County,2019/10/24,24,MD,24005,Baltimore County,141513,685857,3380582,746393,728644,368000,629636,757971,111926,21768,9929,3416,2899
County,2019/10/24,24,MD,24003,Anne Arundel County,90196,489038,2217576,492378,444187,248079,398526,497238,111380,12233,7326,2423,3806
County,2019/10/24,24,MD,24001,Allegany County,14477,55939,332326,73501,110155,50033,31825,41553,16484,6406,2046,122,201
County,2019/10/25,24,MD,24001,Allegany County,13235,57181,344032,73288,114591,52661,31465,45066,19617,5195,1836,113,200
County,2019/10/25,24,MD,24003,Anne Arundel County,88056,491178,2317156,508014,480370,280814,409504,494723,115687,12968,9175,2075,3826
County,2019/10/25,24,MD,24005,Baltimore County,141289,686081,3550556,830967,770358,401903,650123,736339,114776,26331,12664,4508,2587
County,2019/10/25,24,MD,24009,Calvert County,14148,78377,412615,92956,105897,44784,57778,68575,32573,7780,1705,296,271
County,2019/10/25,24,MD,24011,Caroline County,4586,28820,161082,33048,29365,13249,26388,37366,16750,4088,512,134,182
County,2019/10/25,24,MD,24013,Carroll County,19713,148734,754373,142077,188781,101224,101536,136479,73320,8145,1905,386,520
County,2019/10/25,24,MD,24015,Cecil County,14719,88136,464396,80327,80105,43207,77578,137801,35411,5726,3429,535,277
County,2019/10/25,24,MD,24017,Charles County,20876,142381,651996,116789,139786,69379,96109,166910,55239,4947,1909,408,520
County,2019/10/25,24,MD,24019,Dorchester County,6128,25801,144917,34205,39992,13212,7563,33058,12771,3425,530,61,100
County,2019/10/25,24,MD,24021,Frederick County,36147,223400,1128335,262690,236831,135414,131256,208086,121799,25441,5355,830,633
County,2019/10/25,24,MD,24023,Garrett County,3626,25388,151283,22847,37402,18407,29901,25206,13841,2112,1243,53,271
County,2019/10/25,24,MD,24025,Harford County,33245,222196,1069376,195619,218072,128605,175751,261414,76200,7607,4751,507,850
County,2019/10/25,24,MD,24027,Howard County,46636,279054,1280006,266148,252952,144412,249588,288412,59366,10770,4720,1112,2526
County,2019/10/25,24,MD,24029,Kent County,2990,16432,63642,15991,11019,7158,9928,12570,5749,1156,71,0,0
County,2019/10/25,24,MD,24031,Montgomery County,176316,874372,4447854,1094146,1035669,553305,788524,783537,159989,17600,9631,2004,3449
County,2019/10/25,24,MD,24033,Prince George's County,150956,758371,3722949,884622,802227,435192,696177,764258,113271,14755,8182,1924,2341
County,2019/10/25,24,MD,24035,Queen Anne's County,5514,44867,232502,53533,46950,26476,28433,49331,19493,6887,1058,341,0
County,2019/10/25,24,MD,24037,St. Mary's County,14641,98869,467103,80045,119028,70299,82840,81238,25926,6189,885,263,390
County,2019/10/25,24,MD,24039,Somerset County,4062,21554,108125,17060,24667,6356,20202,27581,10448,1429,382,0,0
County,2019/10/25,24,MD,24041,Talbot County,6463,30718,161206,37370,41941,17374,23928,30471,5922,3274,506,0,420
County,2019/10/25,24,MD,24043,Washington County,24066,126983,676920,129688,146991,97039,107731,107802,60655,19757,4375,1980,902
County,2019/10/25,24,MD,24045,Wicomico County,18087,85522,507861,121119,133721,65877,67565,74272,39757,3855,581,960,154
County,2019/10/25,24,MD,24047,Worcester County,10076,42200,211720,47643,46521,23510,33399,39192,17312,2813,1137,50,143
County,2019/10/25,24,MD,24510,Baltimore city,160075,433415,2484978,789331,590190,333349,431112,290667,30059,9620,6762,1421,2467
County,2019/10/26,24,MD,24001,Allegany County,16142,54274,346237,64944,121805,46786,37635,53965,14787,4907,1110,170,128
County,2019/10/26,24,MD,24003,Anne Arundel County,101381,477853,2220961,486778,499177,256690,412158,429018,104441,16827,10529,1704,3639
County,2019/10/26,24,MD,24005,Baltimore County,156290,671080,3356288,755834,759320,385681,634316,655105,113304,28788,15349,5186,3405
County,2019/10/26,24,MD,24009,Calvert County,15510,77015,407537,81787,105116,49208,66650,68185,24612,8308,2945,546,180
County,2019/10/26,24,MD,24011,Caroline County,5121,28285,163513,37676,37939,13308,21236,34040,15286,3226,637,0,165
County,2019/10/26,24,MD,24013,Carroll County,23916,144531,815375,174829,223526,116831,104106,122680,58677,7940,4369,1628,789
County,2019/10/26,24,MD,24015,Cecil County,16514,86341,468372,78515,83738,49873,88583,124738,32492,6266,3155,440,572
County,2019/10/26,24,MD,24017,Charles County,24833,138424,660324,113456,173967,72640,92701,153627,41849,7594,2446,680,1364
County,2019/10/26,24,MD,24019,Dorchester County,6998,24931,153654,38415,38069,24225,10378,29068,10432,2185,512,281,89
County,2019/10/26,24,MD,24021,Frederick County,42715,216832,1091386,245151,234969,131303,146513,206049,98217,22087,4919,949,1229
County,2019/10/26,24,MD,24023,Garrett County,4266,24748,173698,29806,51516,23500,26342,28918,11070,1644,749,33,120
County,2019/10/26,24,MD,24025,Harford County,39668,215773,1069737,204374,242890,130206,182669,228148,66897,8500,4133,736,1184
County,2019/10/26,24,MD,24027,Howard County,53125,272565,1319715,271009,298883,148275,278611,245827,56863,11559,6413,944,1331
County,2019/10/26,24,MD,24029,Kent County,3523,15899,67742,13873,12675,9385,13681,12685,4550,774,0,119,0
County,2019/10/26,24,MD,24031,Montgomery County,201970,848718,4401544,1116629,1041354,540077,765114,750278,150259,20182,10778,2854,4019
County,2019/10/26,24,MD,24033,Prince George's County,169971,739356,3620406,864689,811140,427370,660922,708654,116408,17263,10219,2039,1702
County,2019/10/26,24,MD,24035,Queen Anne's County,7044,43337,226757,39347,57311,31423,25304,46494,21398,4195,458,498,329
County,2019/10/26,24,MD,24037,St. Mary's County,17539,95971,503026,96101,135176,73702,79451,81087,28237,6399,2097,285,491
County,2019/10/26,24,MD,24039,Somerset County,4786,20830,112963,21981,20316,9862,19614,24559,13228,2860,321,199,23
County,2019/10/26,24,MD,24041,Talbot County,6903,30278,158435,30972,43332,18633,31606,24699,5828,2661,399,0,305
County,2019/10/26,24,MD,24043,Washington County,27702,123347,674055,157422,148191,93818,108039,99501,48750,12543,4040,1191,560
County,2019/10/26,24,MD,24045,Wicomico County,19503,84106,528492,119229,154143,63571,71643,76044,39244,3112,593,424,489
County,2019/10/26,24,MD,24047,Worcester County,10759,41517,199282,43352,49743,18820,38899,29746,14816,2640,1042,129,95
County,2019/10/26,24,MD,24510,Baltimore city,175569,417921,2378368,767698,562644,328371,402329,268360,27623,9471,8005,1560,2307
County,2019/10/27,24,MD,24510,Baltimore city,186799,406691,2151349,713043,518932,277652,358429,233133,25376,10033,10399,1729,2623
County,2019/10/27,24,MD,24047,Worcester County,10633,41643,188593,46829,46351,19265,32605,23836,14401,3801,1245,119,141
County,2019/10/27,24,MD,24045,Wicomico County,21785,81824,438036,110572,143127,54816,44486,59325,20596,3162,1003,741,208
County,2019/10/27,24,MD,24043,Washington County,30402,120647,586973,120227,144718,84415,89372,89316,39232,12832,4348,1169,1344
County,2019/10/27,24,MD,24041,Talbot County,7806,29375,133773,28096,32406,14745,23764,25292,6307,2336,531,0,296
County,2019/10/27,24,MD,24039,Somerset County,5381,20235,82153,12717,21486,7950,13338,15686,9383,1259,334,0,0
County,2019/10/27,24,MD,24037,St. Mary's County,18772,94738,466999,93780,125810,65904,86245,65508,20561,5021,2852,1091,227
County,2019/10/27,24,MD,24035,Queen Anne's County,7917,42464,188191,35542,56965,21881,16942,31962,19008,4186,1163,238,304
County,2019/10/27,24,MD,24033,Prince George's County,189436,719891,3248591,791261,745555,379450,599253,608574,89955,15887,12822,2949,2885
County,2019/10/27,24,MD,24031,Montgomery County,224495,826193,3865890,970892,928265,496115,658430,641392,128188,19906,14099,4004,4599
County,2019/10/27,24,MD,24029,Kent County,4172,15250,69856,17703,17564,7864,11339,10921,3379,767,259,60,0
County,2019/10/27,24,MD,24027,Howard County,58557,267133,1147309,257225,255654,126806,208887,231885,45002,10817,7124,1394,2515
County,2019/10/27,24,MD,24025,Harford County,44629,210812,923541,163621,230183,113994,154821,194936,50743,8272,4995,721,1255
County,2019/10/27,24,MD,24023,Garrett County,4329,24685,150706,20547,45115,18269,26604,27300,9734,1918,1119,39,61
County,2019/10/27,24,MD,24021,Frederick County,46016,213531,966267,240527,216237,105350,128088,158058,86024,23063,5886,1472,1562
County,2019/10/27,24,MD,24019,Dorchester County,6896,25033,134874,39947,38790,7777,9822,26029,9550,1973,903,83,0
County,2019/10/27,24,MD,24017,Charles County,27395,135862,572390,103341,134746,66978,88049,131330,38289,5724,2781,500,652
County,2019/10/27,24,MD,24015,Cecil County,19034,83821,400071,73603,85193,45425,79263,85050,22653,4801,2939,498,646
County,2019/10/27,24,MD,24013,Carroll County,27605,140842,672325,119702,195514,113374,90470,95752,43933,7024,4896,1328,332
County,2019/10/27,24,MD,24011,Caroline County,6556,26850,154650,30460,38019,15074,24048,30044,13245,2633,520,292,315
County,2019/10/27,24,MD,24009,Calvert County,17347,75178,361909,62955,107869,47879,56761,51583,25328,5773,2228,1037,496
County,2019/10/27,24,MD,24005,Baltimore County,170462,656908,2976629,657507,705891,356751,537008,582854,86389,26798,16864,4101,2466
County,2019/10/27,24,MD,24003,Anne Arundel County,111981,467253,1954778,451427,427527,227951,356293,365134,84698,16782,13598,5140,6228
County,2019/10/27,24,MD,24001,Allegany County,15413,55003,310071,65346,110667,39124,33476,39033,13649,5472,3130,121,53
County,2019/10/28,24,MD,24510,Baltimore city,167766,425724,2440758,810631,559741,314515,418805,290519,28355,9904,5839,1216,1233
County,2019/10/28,24,MD,24047,Worcester County,10677,41599,219269,52810,52658,26862,34834,33027,15978,1964,873,180,83
County,2019/10/28,24,MD,24045,Wicomico County,20231,83378,501337,117295,135058,61737,61503,77359,44032,2964,553,647,189
County,2019/10/28,24,MD,24043,Washington County,25865,125184,643358,144834,133615,81227,87868,110100,62090,17598,3964,747,1315
County,2019/10/28,24,MD,24041,Talbot County,6317,30864,150615,35244,37506,20604,22032,26591,5927,2224,232,68,187
County,2019/10/28,24,MD,24039,Somerset County,4505,21111,103501,18766,19776,8544,21668,25483,8243,776,191,0,54
County,2019/10/28,24,MD,24037,St. Mary's County,15608,97902,475978,91981,129160,67016,80951,73228,26091,6055,936,272,288
County,2019/10/28,24,MD,24035,Queen Anne's County,6447,43934,217087,39041,42926,27894,26629,48385,27933,3362,310,216,391
County,2019/10/28,24,MD,24033,Prince George's County,161080,748247,3692874,904461,787746,424666,685839,754579,111851,14091,6324,1104,2213
County,2019/10/28,24,MD,24031,Montgomery County,190543,860145,4168613,1026362,950226,525562,758869,744839,137309,15876,5611,1785,2174
County,2019/10/28,24,MD,24029,Kent County,3520,15902,70203,17318,13568,6402,10047,15343,5658,1770,61,36,0
County,2019/10/28,24,MD,24027,Howard County,51337,274353,1298681,267735,258524,156487,262214,285955,52838,8434,4111,639,1744
County,2019/10/28,24,MD,24025,Harford County,34437,221004,978744,167475,221008,108222,155835,236686,76300,8249,3340,806,823
County,2019/10/28,24,MD,24023,Garrett County,3608,25406,151086,21608,45000,17492,22580,26393,16139,1180,578,77,39
County,2019/10/28,24,MD,24021,Frederick County,39441,220106,1050418,234690,222815,115565,133008,196689,121445,21359,3248,957,642
County,2019/10/28,24,MD,24019,Dorchester County,6197,25732,151601,34663,40514,12211,10381,37641,13884,1968,166,156,17
County,2019/10/28,24,MD,24017,Charles County,22582,140675,602886,104252,128308,62176,87281,156781,57847,4465,1160,358,258
County,2019/10/28,24,MD,24015,Cecil County,15851,87004,458903,84756,83660,42957,81480,125819,33707,3978,2023,249,274
County,2019/10/28,24,MD,24013,Carroll County,21043,147404,715302,133479,190585,90905,99503,123315,68837,6488,1210,378,602
County,2019/10/28,24,MD,24011,Caroline County,5232,28174,163267,43494,35929,15296,24365,25259,15262,3125,78,224,235
County,2019/10/28,24,MD,24009,Calvert County,14319,78206,372387,65243,98698,47973,55091,62902,34980,6510,595,236,159
County,2019/10/28,24,MD,24005,Baltimore County,146730,680640,3402058,793866,714320,376885,646190,734523,99820,21844,9859,2057,2694
County,2019/10/28,24,MD,24003,Anne Arundel County,93495,485739,2188589,501777,456439,241434,372644,480016,112069,12820,5729,1955,3706
County,2019/10/28,24,MD,24001,Allegany County,15001,55415,350493,79940,109713,58785,32391,44939,18212,4782,1488,67,176
County,2019/10/29,24,MD,24001,Allegany County,14965,55451,331558,74275,116335,48087,31960,38494,15667,5222,1288,152,78
County,2019/10/29,24,MD,24003,Anne Arundel County,93944,485290,2218867,494362,460791,243404,394782,489709,114898,10646,5192,1634,3449
County,2019/10/29,24,MD,24005,Baltimore County,146034,681336,3335653,771549,702524,361647,635874,730544,97761,22090,8651,2806,2207
County,2019/10/29,24,MD,24009,Calvert County,14033,78492,363416,64772,92628,43918,53101,65177,36448,6197,886,78,211
County,2019/10/29,24,MD,24011,Caroline County,5346,28060,162398,35744,34448,13709,24033,34429,16850,2457,159,286,283
County,2019/10/29,24,MD,24013,Carroll County,21029,147418,697063,122304,171922,90913,98088,126142,79056,6330,1353,453,502
County,2019/10/29,24,MD,24015,Cecil County,15160,87695,446974,75106,80294,38472,85348,125236,35034,5283,1607,264,330
County,2019/10/29,24,MD,24017,Charles County,21704,141553,617922,109510,129962,63640,90165,155525,63259,4379,1050,149,283
County,2019/10/29,24,MD,24019,Dorchester County,6122,25807,161561,32262,44611,22174,9954,38435,12224,1408,288,155,50
County,2019/10/29,24,MD,24021,Frederick County,38403,221144,1034371,226986,214467,123499,120335,193371,129055,22173,2968,890,627
County,2019/10/29,24,MD,24023,Garrett County,3616,25398,139011,20039,33503,17519,26560,27967,11218,1627,503,55,20
County,2019/10/29,24,MD,24025,Harford County,33929,221512,983541,171615,211693,110486,160339,235963,82229,7018,2528,1162,508
County,2019/10/29,24,MD,24027,Howard County,49947,275743,1292289,280122,258491,144041,246179,288686,61083,7487,3711,1020,1469
County,2019/10/29,24,MD,24029,Kent County,3930,15492,66646,14544,12843,7135,11414,13950,4831,1633,204,80,12
County,2019/10/29,24,MD,24031,Montgomery County,189177,861511,4100845,989441,911683,503950,769349,761800,143477,10303,6406,1951,2485
County,2019/10/29,24,MD,24033,Prince George's County,160180,749147,3687081,891704,794401,427823,677867,764924,110569,12252,5424,796,1321
County,2019/10/29,24,MD,24035,Queen Anne's County,6150,44231,226282,40624,43708,26960,30808,52185,25997,5231,508,213,48
County,2019/10/29,24,MD,24037,St. Mary's County,15544,97966,472819,97172,116607,72578,76291,75373,27228,5970,812,496,292
County,2019/10/29,24,MD,24039,Somerset County,4153,21463,119959,23166,22337,9207,21352,31610,11191,752,318,0,26
